	filename	positive_pair	negative_pair	scene_label
29	vocal_imitations/00030_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/088_087Music_Musical instrument_Brass instrument_Trombone.wav	001A
30	vocal_imitations/00031_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/331_029-car_horn_honking-everyday.wav	001A
31	vocal_imitations/00032_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/365_063-doorbell_ringing-everyday.wav	001A
32	vocal_imitations/00033_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/197_196Sounds of things_Domestic sounds_home sounds_Water tap_faucet.wav	001A
33	vocal_imitations/00034_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/471_169-subsynth_2078-single_synthesizer.wav	001A
34	vocal_imitations/00035_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/124_123Music_Musical instrument_Plucked string instrument_Guitar_Strum.wav	001A
35	vocal_imitations/00036_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/382_080-glass_breaking-everyday.wav	001A
36	vocal_imitations/00037_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/523_221-violin_bowed-acoustic_instruments.wav	001A
37	vocal_imitations/00038_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/493_191-subsynth_5297-single_synthesizer.wav	001A
38	vocal_imitations/00039_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/172_171Sounds of things_Domestic sounds_home sounds_Chopping (food).wav	002A
39	vocal_imitations/00040_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/008_007Animal_Livestock_farm animals_working animals_Cattle_bovinae_Cowbell.wav	002A
40	vocal_imitations/00041_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/028_027Animal_Wild animals_Insect_Mosquito.wav	002A
41	vocal_imitations/00042_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/130_129Music_Musical instrument_Scratching (performance technique).wav	002A
42	vocal_imitations/00043_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/421_119-pages_turning-everyday.wav	002A
43	vocal_imitations/00044_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/330_028-car_crashing-everyday.wav	002A
44	vocal_imitations/00045_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/344_042-clave-acoustic_instruments.wav	002A
45	vocal_imitations/00046_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/354_052-crow_cawing-everyday.wav	002A
46	vocal_imitations/00047_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/062_061Human sounds_Human voice_Shout_Yell.wav	002A
47	vocal_imitations/00048_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/076_075Music_Musical instrument_Bell_Bicycle bell.wav	002A
48	vocal_imitations/00049_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/524_222-violin_playing-everyday.wav	002A
49	vocal_imitations/00050_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/455_153-sonar_pinging-everyday.wav	002A
50	vocal_imitations/00051_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/348_046-crash_cymbal_bowed-acoustic_instruments.wav	002A
51	vocal_imitations/00052_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/442_140-resonant_clouds-commercial_synthesizers.wav	002A
52	vocal_imitations/00053_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/303_001-abyss_of_despair-commercial_synthesizers.wav	002A
53	vocal_imitations/00054_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/241_240Sounds of things_Miscellaneous sources_Sonar.wav	002A
54	vocal_imitations/00055_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/488_186-subsynth_374-single_synthesizer.wav	002A
55	vocal_imitations/00056_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/515_213-trumpet_playing-everyday.wav	002A
56	vocal_imitations/00057_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/279_278Sounds of things_Wood_Chop.wav	002A
57	vocal_imitations/00058_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/003_002Animal_Domestic animals_pets_Cat_Meow.wav	sound_recordings/113_112Music_Musical instrument_Percussion_Mallet percussion_Marimba_xylophone.wav	002A
58	vocal_imitations/00059_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/278_277Sounds of things_Vehicle_Rail transport_Train_Train whistle.wav	003A
59	vocal_imitations/00060_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	003A
60	vocal_imitations/00061_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/201_200Sounds of things_Engine_Engine starting.wav	003A
61	vocal_imitations/00062_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/447_145-saw_sawing-everyday.wav	003A
62	vocal_imitations/00063_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/241_240Sounds of things_Miscellaneous sources_Sonar.wav	003A
63	vocal_imitations/00064_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/090_089Music_Musical instrument_Choir.wav	003A
64	vocal_imitations/00065_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/103_102Music_Musical instrument_Percussion_Cymbal_Crash Cymbal.wav	003A
65	vocal_imitations/00066_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/504_202-tea_kettle_whistling-everyday.wav	003A
66	vocal_imitations/00067_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/384_082-guiro-acoustic_instruments.wav	003A
67	vocal_imitations/00068_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/258_257Sounds of things_Vehicle_Motor vehicle (road)_Car_Car passing by.wav	003A
68	vocal_imitations/00069_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/502_200-tambourine-acoustic_instruments.wav	003A
69	vocal_imitations/00070_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/409_107-monkey_calling-everyday.wav	003A
70	vocal_imitations/00071_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/278_277Sounds of things_Vehicle_Rail transport_Train_Train whistle.wav	003A
71	vocal_imitations/00072_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/011_010Animal_Livestock_farm animals_working animals_Fowl_Chicken_rooster_Crowing_cock_a_doodle_doo.wav	003A
72	vocal_imitations/00073_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/281_280Sounds of things_Wood_Snap.wav	003A
73	vocal_imitations/00074_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/220_219Sounds of things_Liquid_Fill (with liquid).wav	003A
74	vocal_imitations/00075_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/004_003Animal_Domestic animals_pets_Cat_Purr.wav	sound_recordings/345_043-coin_dropping-everyday.wav	003A
75	vocal_imitations/00076_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/530_228-waves_breaking-everyday.wav	004A
76	vocal_imitations/00077_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/490_188-subsynth_4708-single_synthesizer.wav	004A
77	vocal_imitations/00078_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/178_177Sounds of things_Domestic sounds_home sounds_Door_Slam.wav	004A
78	vocal_imitations/00079_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/252_251Sounds of things_Vehicle_Boat_Water vehicle_Motorboat_speedboat.wav	004A
79	vocal_imitations/00080_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/536_234-wolf_howling-everyday.wav	004A
80	vocal_imitations/00081_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/500_198-synth_evolving_lead-commercial_synthesizers.wav	004A
81	vocal_imitations/00082_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/132_131Music_Musical instrument_Theremin.wav	004A
82	vocal_imitations/00083_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/231_230Sounds of things_Mechanisms_Clock_Tick.wav	004A
83	vocal_imitations/00084_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/071_070Human sounds_Respiratory sounds_Sneeze.wav	004A
84	vocal_imitations/00085_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/309_007-anti_matter_clouds-commercial_synthesizers.wav	004A
85	vocal_imitations/00086_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/063_062Human sounds_Human voice_Sigh.wav	004A
86	vocal_imitations/00087_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/150_149Sounds of things_Alarm_Alarm clock.wav	004A
87	vocal_imitations/00088_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/048_047Human sounds_Human group actions_Children shouting.wav	004A
88	vocal_imitations/00089_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/215_214Sounds of things_Explosion_Gunshot_gunfire_Machine gun.wav	004A
89	vocal_imitations/00090_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/425_123-person_burping-everyday.wav	004A
90	vocal_imitations/00091_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/073_072Human sounds_Whistling_Wolf_whistling.wav	004A
91	vocal_imitations/00092_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/284_283Source_ambiguous sounds_Deformable shell_Crushing.wav	004A
92	vocal_imitations/00093_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/160_159Sounds of things_Alarm_Siren_Police car (siren).wav	004A
93	vocal_imitations/00094_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/474_172-subsynth_2176-single_synthesizer.wav	004A
94	vocal_imitations/00095_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/005_004Animal_Domestic animals_pets_Dog_Bark.wav	sound_recordings/078_077Music_Musical instrument_Bell_Church bell.wav	004A
95	vocal_imitations/00096_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/029_028Animal_Wild animals_Roaring cats (lions_tigers)_Roar.wav	005A
96	vocal_imitations/00097_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/205_204Sounds of things_Engine_Light engine (high frequency)_Dental drill_dentist_s drill.wav	005A
97	vocal_imitations/00098_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/409_107-monkey_calling-everyday.wav	005A
98	vocal_imitations/00099_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/504_202-tea_kettle_whistling-everyday.wav	005A
99	vocal_imitations/00100_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/362_060-donkey_hawing-everyday.wav	005A
100	vocal_imitations/00101_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/284_283Source_ambiguous sounds_Deformable shell_Crushing.wav	005A
101	vocal_imitations/00102_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/535_233-windgong-acoustic_instruments.wav	005A
102	vocal_imitations/00103_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/288_287Source_ambiguous sounds_Generic impact sounds_Breaking.wav	005A
103	vocal_imitations/00104_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/336_034-cello_bowed-acoustic_instruments.wav	005A
104	vocal_imitations/00105_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/128_127Music_Musical instrument_Plucked string instrument_Ukulele.wav	005A
105	vocal_imitations/00106_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/187_186Sounds of things_Domestic sounds_home sounds_Packing tape_duct tape.wav	005A
106	vocal_imitations/00107_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/499_197-swords_clashing-everyday.wav	005A
107	vocal_imitations/00108_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/279_278Sounds of things_Wood_Chop.wav	005A
108	vocal_imitations/00109_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/152_151Sounds of things_Alarm_Buzzer.wav	005A
109	vocal_imitations/00110_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/471_169-subsynth_2078-single_synthesizer.wav	005A
110	vocal_imitations/00111_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/096_095Music_Musical instrument_Keyboard (musical)_Organ_Hammond organ.wav	005A
111	vocal_imitations/00112_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/099_098Music_Musical instrument_Keyboard (musical)_Synthesizer_Sampler.wav	005A
112	vocal_imitations/00113_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/006_005Animal_Domestic animals_pets_Dog_Growling.wav	sound_recordings/167_166Sounds of things_Alarm_Vehicle horn_car horn_honking_Toot.wav	005A
113	vocal_imitations/00114_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/026_025Animal_Wild animals_Insect_Bee_wasp_etc_Buzz.wav	006A
114	vocal_imitations/00115_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/110_109Music_Musical instrument_Percussion_Drum_Timpani.wav	006A
115	vocal_imitations/00116_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/151_150Sounds of things_Alarm_Bicycle bell.wav	006A
116	vocal_imitations/00117_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/023_022Animal_Wild animals_Bird_Owl_Hoot.wav	006A
117	vocal_imitations/00118_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/063_062Human sounds_Human voice_Sigh.wav	006A
118	vocal_imitations/00119_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/152_151Sounds of things_Alarm_Buzzer.wav	006A
119	vocal_imitations/00120_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/194_193Sounds of things_Domestic sounds_home sounds_Typing_Typewriter.wav	006A
120	vocal_imitations/00121_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/496_194-subsynth_8074-single_synthesizer.wav	006A
121	vocal_imitations/00122_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/317_015-bassoon-acoustic_instruments.wav	006A
122	vocal_imitations/00123_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/514_212-trumpet-acoustic_instruments.wav	006A
123	vocal_imitations/00124_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/464_162-subsynth_2007-single_synthesizer.wav	006A
124	vocal_imitations/00125_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/007_006Animal_Domestic animals_pets_Dog_Howl.wav	sound_recordings/322_020-boat_horn_sounding-everyday.wav	006A
