	filename	positive_pair	negative_pair	scene_label
26	vocal_imitations/air machine - 6167274805264384.wav	sound_recordings/air_machine.wav	sound_recordings/subsynth_2078.wav	air machine
27	vocal_imitations/air machine - 5119289900138496.wav	sound_recordings/air_machine.wav	sound_recordings/subsynth_5297.wav	air machine
28	vocal_imitations/air machine - 5362150436503552.wav	sound_recordings/air_machine.wav	sound_recordings/reversed_envelope.wav	air machine
29	vocal_imitations/air machine - 6020597377138688.wav	sound_recordings/air_machine.wav	sound_recordings/filter_bubble.wav	air machine
30	vocal_imitations/air machine - 5158157609336832.wav	sound_recordings/air_machine.wav	sound_recordings/triangle.wav	air machine
31	vocal_imitations/air machine - 5372080400891904.wav	sound_recordings/air_machine.wav	sound_recordings/subsynth_2917.wav	air machine
32	vocal_imitations/air machine - 5813867716280320.wav	sound_recordings/air_machine.wav	sound_recordings/subsynth_4768.wav	air machine
33	vocal_imitations/air machine - 4769143228203008.wav	sound_recordings/air_machine.wav	sound_recordings/synth_evolving_lead.wav	air machine
34	vocal_imitations/air machine - 4764869198872576.wav	sound_recordings/air_machine.wav	sound_recordings/shimmer.wav	air machine
35	vocal_imitations/air machine - 5089326060797952.wav	sound_recordings/air_machine.wav	sound_recordings/shadowland_highs.wav	air machine
36	vocal_imitations/air machine - 5951195537473536.wav	sound_recordings/air_machine.wav	sound_recordings/violin_bowed.wav	air machine
37	vocal_imitations/air machine - 5954364552249344.wav	sound_recordings/air_machine.wav	sound_recordings/soft_shimmer.wav	air machine
38	vocal_imitations/air machine - 5478047444631552.wav	sound_recordings/air_machine.wav	sound_recordings/subsynth_2127.wav	air machine
39	vocal_imitations/air machine - 5796718448738304.wav	sound_recordings/air_machine.wav	sound_recordings/spacecraft_engine.wav	air machine
40	vocal_imitations/alien discovery - 6478633090678784.wav	sound_recordings/alien_discovery.wav	sound_recordings/feedback.wav	alien discovery
41	vocal_imitations/alien discovery - 6138133989031936.wav	sound_recordings/alien_discovery.wav	sound_recordings/crotale.wav	alien discovery
42	vocal_imitations/alien discovery - 5312875753111552.wav	sound_recordings/alien_discovery.wav	sound_recordings/subsynth_5940.wav	alien discovery
43	vocal_imitations/alien discovery - 5365654592946176.wav	sound_recordings/alien_discovery.wav	sound_recordings/classic_synth_brass.wav	alien discovery
44	vocal_imitations/alien discovery - 5182031185051648.wav	sound_recordings/alien_discovery.wav	sound_recordings/marble_on_a_journey.wav	alien discovery
45	vocal_imitations/alien discovery - 4768916668678144.wav	sound_recordings/alien_discovery.wav	sound_recordings/anti_matter_clouds.wav	alien discovery
46	vocal_imitations/alien discovery - 5579505712234496.wav	sound_recordings/alien_discovery.wav	sound_recordings/subsynth_2248.wav	alien discovery
47	vocal_imitations/alien discovery - 5428115228590080.wav	sound_recordings/alien_discovery.wav	sound_recordings/subsynth_2009.wav	alien discovery
48	vocal_imitations/alien discovery - 6330073393135616.wav	sound_recordings/alien_discovery.wav	sound_recordings/subsynth_4768.wav	alien discovery
49	vocal_imitations/alien discovery - 4879888423059456.wav	sound_recordings/alien_discovery.wav	sound_recordings/bullet_time.wav	alien discovery
50	vocal_imitations/alien discovery - 5125084347891712.wav	sound_recordings/alien_discovery.wav	sound_recordings/ghost_in_the_machine.wav	alien discovery
51	vocal_imitations/alien discovery - 5172099073179648.wav	sound_recordings/alien_discovery.wav	sound_recordings/alien_discovery.wav	alien discovery
52	vocal_imitations/alien discovery - 5395507836878848.wav	sound_recordings/alien_discovery.wav	sound_recordings/subsynth_8074.wav	alien discovery
53	vocal_imitations/alien discovery - 5069476198350848.wav	sound_recordings/alien_discovery.wav	sound_recordings/viola_bowed.wav	alien discovery
54	vocal_imitations/alien discovery - 5733679603122176.wav	sound_recordings/alien_discovery.wav	sound_recordings/crash_cymbal_hit_with_a_stick.wav	alien discovery
55	vocal_imitations/alien discovery - 5145735624392704.wav	sound_recordings/alien_discovery.wav	sound_recordings/subsynth_2186.wav	alien discovery
56	vocal_imitations/alien discovery - 5857345670217728.wav	sound_recordings/alien_discovery.wav	sound_recordings/subsynth_499.wav	alien discovery
57	vocal_imitations/alien discovery - 5313210894778368.wav	sound_recordings/alien_discovery.wav	sound_recordings/needle_strings.wav	alien discovery
58	vocal_imitations/alien discovery - 6132971438342144.wav	sound_recordings/alien_discovery.wav	sound_recordings/clarinet.wav	alien discovery
59	vocal_imitations/alien discovery - 4668549322768384.wav	sound_recordings/alien_discovery.wav	sound_recordings/subsynth_2208.wav	alien discovery
60	vocal_imitations/alto sax - 4725891296919552.wav	sound_recordings/alto_sax.wav	sound_recordings/crash_cymbal_mallet_roll.wav	alto sax
61	vocal_imitations/alto sax - 4841920912162816.wav	sound_recordings/alto_sax.wav	sound_recordings/subsynth_2009.wav	alto sax
62	vocal_imitations/alto sax - 4873731453222912.wav	sound_recordings/alto_sax.wav	sound_recordings/subsynth_5297.wav	alto sax
63	vocal_imitations/alto sax - 5164323705978880.wav	sound_recordings/alto_sax.wav	sound_recordings/alien_discovery.wav	alto sax
64	vocal_imitations/alto sax - 5211919459811328.wav	sound_recordings/alto_sax.wav	sound_recordings/subsynth_2215.wav	alto sax
65	vocal_imitations/alto sax - 5243158099132416.wav	sound_recordings/alto_sax.wav	sound_recordings/morphing_can_drum.wav	alto sax
66	vocal_imitations/alto sax - 5250252042928128.wav	sound_recordings/alto_sax.wav	sound_recordings/crash_cymbal_mallet_roll.wav	alto sax
67	vocal_imitations/alto sax - 5753116477620224.wav	sound_recordings/alto_sax.wav	sound_recordings/crotale.wav	alto sax
68	vocal_imitations/alto sax - 5762637883244544.wav	sound_recordings/alto_sax.wav	sound_recordings/air_machine.wav	alto sax
69	vocal_imitations/alto sax - 5930178786099200.wav	sound_recordings/alto_sax.wav	sound_recordings/marimba_hit_with_a_rubber_mallet.wav	alto sax
70	vocal_imitations/alto sax - 6019844684120064.wav	sound_recordings/alto_sax.wav	sound_recordings/subsynth_2127.wav	alto sax
71	vocal_imitations/alto sax - 6158485154693120.wav	sound_recordings/alto_sax.wav	sound_recordings/vibraphone_bowed.wav	alto sax
72	vocal_imitations/alto sax - 6229594243858432.wav	sound_recordings/alto_sax.wav	sound_recordings/dark_synth_pad.wav	alto sax
73	vocal_imitations/alto sax - 6301319660830720.wav	sound_recordings/alto_sax.wav	sound_recordings/tambourine_shake_roll.wav	alto sax
74	vocal_imitations/alto sax - 6303190655959040.wav	sound_recordings/alto_sax.wav	sound_recordings/marimba_hit_with_a_rubber_mallet.wav	alto sax
75	vocal_imitations/alto sax - 6328436876378112.wav	sound_recordings/alto_sax.wav	sound_recordings/subsynth_3378.wav	alto sax
76	vocal_imitations/alto sax - 6425180612067328.wav	sound_recordings/alto_sax.wav	sound_recordings/vibraphone_sustained.wav	alto sax
77	vocal_imitations/alto sax - 6531465617604608.wav	sound_recordings/alto_sax.wav	sound_recordings/violin_bowed.wav	alto sax
78	vocal_imitations/alto sax - 6609430950969344.wav	sound_recordings/alto_sax.wav	sound_recordings/filter_bubble.wav	alto sax
79	vocal_imitations/alto sax - 6616888087937024.wav	sound_recordings/alto_sax.wav	sound_recordings/subsynth_2208.wav	alto sax
80	vocal_imitations/anti matter clouds - 4857327496724480.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/subsynth_2248.wav	anti matter clouds
81	vocal_imitations/anti matter clouds - 5742796208078848.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/subsynth_2447.wav	anti matter clouds
82	vocal_imitations/anti matter clouds - 5906520898273280.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/subsynth_5940.wav	anti matter clouds
83	vocal_imitations/anti matter clouds - 5737312742801408.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/subsynth_2222.wav	anti matter clouds
84	vocal_imitations/anti matter clouds - 5420994172813312.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/violin_bowed.wav	anti matter clouds
85	vocal_imitations/anti matter clouds - 6216244948631552.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/euro_hook.wav	anti matter clouds
86	vocal_imitations/anti matter clouds - 4899253356855296.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/soft_shimmer.wav	anti matter clouds
87	vocal_imitations/anti matter clouds - 5434804640153600.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/subsynth_2214.wav	anti matter clouds
88	vocal_imitations/anti matter clouds - 6006071260872704.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/subsynth_2010.wav	anti matter clouds
89	vocal_imitations/anti matter clouds - 6435999634685952.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/shimmer.wav	anti matter clouds
90	vocal_imitations/anti matter clouds - 5343393777451008.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/marimba_hit_with_a_rubber_mallet.wav	anti matter clouds
91	vocal_imitations/anti matter clouds - 6329851665448960.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/bell_swarm.wav	anti matter clouds
92	vocal_imitations/anti matter clouds - 6079117380288512.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/subsynth_2078.wav	anti matter clouds
93	vocal_imitations/anti matter clouds - 5107457265238016.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/little_summer_boy.wav	anti matter clouds
94	vocal_imitations/anti matter clouds - 6278300783607808.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/subsynth_2248.wav	anti matter clouds
95	vocal_imitations/anti matter clouds - 5226122916659200.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/trumpet.wav	anti matter clouds
96	vocal_imitations/anti matter clouds - 6677325122895872.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/mister_frosty.wav	anti matter clouds
97	vocal_imitations/anti matter clouds - 5656313283477504.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/violin_bowed.wav	anti matter clouds
98	vocal_imitations/anti matter clouds - 5150978168848384.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/alien_discovery.wav	anti matter clouds
99	vocal_imitations/anti matter clouds - 5717425702043648.wav	sound_recordings/anti_matter_clouds.wav	sound_recordings/shimmer.wav	anti matter clouds
100	vocal_imitations/bamboo air strings - 4912476487417856.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/bass_bowed.wav	bamboo air strings
101	vocal_imitations/bamboo air strings - 5162901534932992.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/tambourine_shake_roll.wav	bamboo air strings
102	vocal_imitations/bamboo air strings - 6556593592205312.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/subsynth_2176.wav	bamboo air strings
103	vocal_imitations/bamboo air strings - 6198523510915072.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/trombone.wav	bamboo air strings
104	vocal_imitations/bamboo air strings - 5987196490219520.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/subsynth_2010.wav	bamboo air strings
105	vocal_imitations/bamboo air strings - 4875944703557632.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/vibraphone_sustained.wav	bamboo air strings
106	vocal_imitations/bamboo air strings - 4961994239115264.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/cello_plucked.wav	bamboo air strings
107	vocal_imitations/bamboo air strings - 5697266736168960.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/subsynth_499.wav	bamboo air strings
108	vocal_imitations/bamboo air strings - 5179402799284224.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/subsynth_2215.wav	bamboo air strings
109	vocal_imitations/bamboo air strings - 4861606894764032.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/subsynth_4768.wav	bamboo air strings
110	vocal_imitations/bamboo air strings - 5352022366748672.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/guiro.wav	bamboo air strings
111	vocal_imitations/bamboo air strings - 4570326641934336.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/bullet_time.wav	bamboo air strings
112	vocal_imitations/bamboo air strings - 5483102621138944.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/bamboo_air_strings.wav	bamboo air strings
113	vocal_imitations/bamboo air strings - 5713391385575424.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/subsynth_2917.wav	bamboo air strings
114	vocal_imitations/bamboo air strings - 4585410432860160.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/subsynth_1828.wav	bamboo air strings
115	vocal_imitations/bamboo air strings - 5093367088152576.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/ghost_in_the_machine.wav	bamboo air strings
116	vocal_imitations/bamboo air strings - 6622327127146496.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/subsynth_2009.wav	bamboo air strings
117	vocal_imitations/bamboo air strings - 5756518494371840.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/violin_bowed.wav	bamboo air strings
118	vocal_imitations/bamboo air strings - 6587682310324224.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/subsynth_8828.wav	bamboo air strings
119	vocal_imitations/bamboo air strings - 4652328170815488.wav	sound_recordings/bamboo_air_strings.wav	sound_recordings/subsynth_2176.wav	bamboo air strings
120	vocal_imitations/bass (bowed) - 4698419612352512.wav	sound_recordings/bass_bowed.wav	sound_recordings/subsynth_2010.wav	bass (bowed)
121	vocal_imitations/bass (bowed) - 4729153324580864.wav	sound_recordings/bass_bowed.wav	sound_recordings/subsynth_9879.wav	bass (bowed)
122	vocal_imitations/bass (bowed) - 4744038607486976.wav	sound_recordings/bass_bowed.wav	sound_recordings/subsynth_2176.wav	bass (bowed)
123	vocal_imitations/bass (bowed) - 4746034827755520.wav	sound_recordings/bass_bowed.wav	sound_recordings/slow_warm_swells.wav	bass (bowed)
124	vocal_imitations/bass (bowed) - 4758094961704960.wav	sound_recordings/bass_bowed.wav	sound_recordings/shimmer.wav	bass (bowed)
125	vocal_imitations/bass (bowed) - 4864773359403008.wav	sound_recordings/bass_bowed.wav	sound_recordings/subsynth_5297.wav	bass (bowed)
126	vocal_imitations/bass (bowed) - 5183714946449408.wav	sound_recordings/bass_bowed.wav	sound_recordings/cello_bowed.wav	bass (bowed)
127	vocal_imitations/bass (bowed) - 5200540346613760.wav	sound_recordings/bass_bowed.wav	sound_recordings/subsynth_2447.wav	bass (bowed)
128	vocal_imitations/bass (bowed) - 5409489029169152.wav	sound_recordings/bass_bowed.wav	sound_recordings/abyss_of_despair.wav	bass (bowed)
129	vocal_imitations/bass (bowed) - 5440992614285312.wav	sound_recordings/bass_bowed.wav	sound_recordings/tambourine.wav	bass (bowed)
130	vocal_imitations/bass (bowed) - 5759330355773440.wav	sound_recordings/bass_bowed.wav	sound_recordings/subsynth_2003.wav	bass (bowed)
131	vocal_imitations/bass (bowed) - 5820585045131264.wav	sound_recordings/bass_bowed.wav	sound_recordings/sparkle_motion.wav	bass (bowed)
132	vocal_imitations/bass (bowed) - 5851190982082560.wav	sound_recordings/bass_bowed.wav	sound_recordings/photon_blast.wav	bass (bowed)
133	vocal_imitations/bass (bowed) - 5926623492702208.wav	sound_recordings/bass_bowed.wav	sound_recordings/subsynth_1886.wav	bass (bowed)
134	vocal_imitations/bass (bowed) - 6009711245656064.wav	sound_recordings/bass_bowed.wav	sound_recordings/subsynth_2214.wav	bass (bowed)
135	vocal_imitations/bass (bowed) - 6257612865667072.wav	sound_recordings/bass_bowed.wav	sound_recordings/marimba_hit_with_a_rubber_mallet.wav	bass (bowed)
136	vocal_imitations/bass (bowed) - 6288436369555456.wav	sound_recordings/bass_bowed.wav	sound_recordings/windgong.wav	bass (bowed)
137	vocal_imitations/bass (bowed) - 6310670878375936.wav	sound_recordings/bass_bowed.wav	sound_recordings/subsynth_5297.wav	bass (bowed)
138	vocal_imitations/bass (bowed) - 6383351791353856.wav	sound_recordings/bass_bowed.wav	sound_recordings/xylophone.wav	bass (bowed)
139	vocal_imitations/bass (bowed) - 6529483758632960.wav	sound_recordings/bass_bowed.wav	sound_recordings/woodblock.wav	bass (bowed)
140	vocal_imitations/bass (plucked) - 5693312950337536.wav	sound_recordings/bass_plucked.wav	sound_recordings/trombone.wav	bass (plucked)
141	vocal_imitations/bass (plucked) - 6199903000723456.wav	sound_recordings/bass_plucked.wav	sound_recordings/orchestra_bells.wav	bass (plucked)
142	vocal_imitations/bass (plucked) - 5517652411809792.wav	sound_recordings/bass_plucked.wav	sound_recordings/guiro.wav	bass (plucked)
143	vocal_imitations/bass (plucked) - 5613568158334976.wav	sound_recordings/bass_plucked.wav	sound_recordings/subsynth_2002.wav	bass (plucked)
144	vocal_imitations/bass (plucked) - 6204026840416256.wav	sound_recordings/bass_plucked.wav	sound_recordings/flute.wav	bass (plucked)
145	vocal_imitations/bass (plucked) - 6182079557533696.wav	sound_recordings/bass_plucked.wav	sound_recordings/subsynth_499.wav	bass (plucked)
146	vocal_imitations/bass (plucked) - 5032438682091520.wav	sound_recordings/bass_plucked.wav	sound_recordings/ice_synth.wav	bass (plucked)
147	vocal_imitations/bass (plucked) - 5581988203331584.wav	sound_recordings/bass_plucked.wav	sound_recordings/subsynth_374.wav	bass (plucked)
148	vocal_imitations/bass (plucked) - 6224771532455936.wav	sound_recordings/bass_plucked.wav	sound_recordings/horn.wav	bass (plucked)
149	vocal_imitations/bass (plucked) - 6011039866945536.wav	sound_recordings/bass_plucked.wav	sound_recordings/subsynth_2127.wav	bass (plucked)
150	vocal_imitations/bass (plucked) - 5936084768784384.wav	sound_recordings/bass_plucked.wav	sound_recordings/subsynth_2222.wav	bass (plucked)
151	vocal_imitations/bass (plucked) - 6589662424465408.wav	sound_recordings/bass_plucked.wav	sound_recordings/subsynth_2447.wav	bass (plucked)
152	vocal_imitations/bass (plucked) - 5728382968922112.wav	sound_recordings/bass_plucked.wav	sound_recordings/subsynth_5940.wav	bass (plucked)
153	vocal_imitations/bass (plucked) - 5421005849755648.wav	sound_recordings/bass_plucked.wav	sound_recordings/spacecraft_engine.wav	bass (plucked)
154	vocal_imitations/bass (plucked) - 6050932194279424.wav	sound_recordings/bass_plucked.wav	sound_recordings/shadowland_highs.wav	bass (plucked)
155	vocal_imitations/bass (plucked) - 6494204897263616.wav	sound_recordings/bass_plucked.wav	sound_recordings/subsynth_499.wav	bass (plucked)
156	vocal_imitations/bass (plucked) - 5431063052550144.wav	sound_recordings/bass_plucked.wav	sound_recordings/dark_attack_bass.wav	bass (plucked)
157	vocal_imitations/bass (plucked) - 6149429753020416.wav	sound_recordings/bass_plucked.wav	sound_recordings/tambourine.wav	bass (plucked)
158	vocal_imitations/bass (plucked) - 6203932351135744.wav	sound_recordings/bass_plucked.wav	sound_recordings/violin_plucked.wav	bass (plucked)
159	vocal_imitations/bass (plucked) - 4936997529452544.wav	sound_recordings/bass_plucked.wav	sound_recordings/guiro.wav	bass (plucked)
160	vocal_imitations/bass (plucked) - 6113518994587648.wav	sound_recordings/bass_plucked.wav	sound_recordings/spacecraft_engine.wav	bass (plucked)
161	vocal_imitations/bassoon - 5800448493617152.wav	sound_recordings/bassoon.wav	sound_recordings/subsynth_3388.wav	bassoon
162	vocal_imitations/bassoon - 5194958633959424.wav	sound_recordings/bassoon.wav	sound_recordings/subsynth_499.wav	bassoon
163	vocal_imitations/bassoon - 5982458604421120.wav	sound_recordings/bassoon.wav	sound_recordings/crash_cymbal_choked.wav	bassoon
164	vocal_imitations/bassoon - 4993440379043840.wav	sound_recordings/bassoon.wav	sound_recordings/morphing_can_drum.wav	bassoon
165	vocal_imitations/bassoon - 4828884612677632.wav	sound_recordings/bassoon.wav	sound_recordings/alien_discovery.wav	bassoon
166	vocal_imitations/bassoon - 4998781707747328.wav	sound_recordings/bassoon.wav	sound_recordings/subsynth_3378.wav	bassoon
167	vocal_imitations/bassoon - 6380927416532992.wav	sound_recordings/bassoon.wav	sound_recordings/bullet_time.wav	bassoon
168	vocal_imitations/bassoon - 5983227403567104.wav	sound_recordings/bassoon.wav	sound_recordings/vibraphone_sustained.wav	bassoon
169	vocal_imitations/bassoon - 4655779177037824.wav	sound_recordings/bassoon.wav	sound_recordings/guiro.wav	bassoon
170	vocal_imitations/bassoon - 5142771560087552.wav	sound_recordings/bassoon.wav	sound_recordings/subsynth_3997.wav	bassoon
171	vocal_imitations/bassoon - 4880257790246912.wav	sound_recordings/bassoon.wav	sound_recordings/little_summer_boy.wav	bassoon
172	vocal_imitations/bassoon - 5363673539280896.wav	sound_recordings/bassoon.wav	sound_recordings/classic_synth_brass.wav	bassoon
173	vocal_imitations/bassoon - 5033477929959424.wav	sound_recordings/bassoon.wav	sound_recordings/synth_metallic_stars.wav	bassoon
174	vocal_imitations/bassoon - 5026394589364224.wav	sound_recordings/bassoon.wav	sound_recordings/subsynth_2222.wav	bassoon
175	vocal_imitations/bassoon - 4793065659170816.wav	sound_recordings/bassoon.wav	sound_recordings/bass_bowed.wav	bassoon
176	vocal_imitations/bassoon - 6075924206321664.wav	sound_recordings/bassoon.wav	sound_recordings/subsynth_2013.wav	bassoon
177	vocal_imitations/bassoon - 4966820037525504.wav	sound_recordings/bassoon.wav	sound_recordings/bell_swarm.wav	bassoon
178	vocal_imitations/bassoon - 5105051949334528.wav	sound_recordings/bassoon.wav	sound_recordings/subsynth_2010.wav	bassoon
179	vocal_imitations/bassoon - 6579848289976320.wav	sound_recordings/bassoon.wav	sound_recordings/horn.wav	bassoon
180	vocal_imitations/bassoon - 6388650304602112.wav	sound_recordings/bassoon.wav	sound_recordings/subsynth_5940.wav	bassoon
181	vocal_imitations/bell swarm - 4642859110105088.wav	sound_recordings/bell_swarm.wav	sound_recordings/subsynth_1828.wav	bell swarm
182	vocal_imitations/bell swarm - 4668520197521408.wav	sound_recordings/bell_swarm.wav	sound_recordings/spacecraft_engine.wav	bell swarm
183	vocal_imitations/bell swarm - 4808870065078272.wav	sound_recordings/bell_swarm.wav	sound_recordings/crotale.wav	bell swarm
184	vocal_imitations/bell swarm - 4855442006081536.wav	sound_recordings/bell_swarm.wav	sound_recordings/classic_synth_brass.wav	bell swarm
185	vocal_imitations/bell swarm - 5010912171786240.wav	sound_recordings/bell_swarm.wav	sound_recordings/guiro.wav	bell swarm
186	vocal_imitations/bell swarm - 5024548827168768.wav	sound_recordings/bell_swarm.wav	sound_recordings/spacecraft_engine.wav	bell swarm
187	vocal_imitations/bell swarm - 5102104662245376.wav	sound_recordings/bell_swarm.wav	sound_recordings/subsynth_1828.wav	bell swarm
188	vocal_imitations/bell swarm - 5133278474403840.wav	sound_recordings/bell_swarm.wav	sound_recordings/subsynth_3388.wav	bell swarm
189	vocal_imitations/bell swarm - 5159771980169216.wav	sound_recordings/bell_swarm.wav	sound_recordings/vibraphone_bowed.wav	bell swarm
190	vocal_imitations/bell swarm - 5192603381268480.wav	sound_recordings/bell_swarm.wav	sound_recordings/slow_warm_swells.wav	bell swarm
191	vocal_imitations/bell swarm - 5407563138990080.wav	sound_recordings/bell_swarm.wav	sound_recordings/crash_cymbal_mallet_roll.wav	bell swarm
192	vocal_imitations/bell swarm - 5590320439885824.wav	sound_recordings/bell_swarm.wav	sound_recordings/subsynth_4768.wav	bell swarm
193	vocal_imitations/bell swarm - 5630719573360640.wav	sound_recordings/bell_swarm.wav	sound_recordings/dark_synth_pad.wav	bell swarm
194	vocal_imitations/bell swarm - 5680737151877120.wav	sound_recordings/bell_swarm.wav	sound_recordings/spacecraft_engine.wav	bell swarm
195	vocal_imitations/bell swarm - 5712454948487168.wav	sound_recordings/bell_swarm.wav	sound_recordings/thaigong.wav	bell swarm
196	vocal_imitations/bell swarm - 5767637762048000.wav	sound_recordings/bell_swarm.wav	sound_recordings/shadowland_highs.wav	bell swarm
197	vocal_imitations/bell swarm - 5853192436842496.wav	sound_recordings/bell_swarm.wav	sound_recordings/ice_synth.wav	bell swarm
198	vocal_imitations/bell swarm - 6077850901807104.wav	sound_recordings/bell_swarm.wav	sound_recordings/air_machine.wav	bell swarm
199	vocal_imitations/bell swarm - 6228853898870784.wav	sound_recordings/bell_swarm.wav	sound_recordings/shimmer.wav	bell swarm
200	vocal_imitations/bell swarm - 6620149041856512.wav	sound_recordings/bell_swarm.wav	sound_recordings/slow_warm_swells.wav	bell swarm
201	vocal_imitations/breathing cyborg - 4585153808564224.wav	sound_recordings/breathing_cyborg.wav	sound_recordings/breathing_cyborg.wav	breathing cyborg
